Laptop Name;Old Price;Discount Percentages;Current Prices;Rating;Number of Ratings;Link;Unit Available;Offer Type;Seller Name and Score;Door Delivery Info;Pickup Station Info;Return Policy Info
Acer ASPIRE 3 Laptop – Intel Core I5 -1135G7 – 8GB RAM -1TB HDD - 15.6 Inch FHD –NVIDIA MX 350 . 2GB – Silver;Old price not available;0;EGP 77,800.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/lenovo-legion-5-pro-core-i7-12700h-32g-ram-1tb-nvme-vga-nvidia-6g-rtx-3060-16.0-wqxga-165hz-grey-dos-no-windows-31800967.html;4 units left;Offer type: information not available;Seller Name: Elite for trade Marketplace, Score: 50%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
HP ENVY 13-ba1018ne - I7-1165G7 -16GB -1TB SSD  MX450 2GB;Old price not available;0;EGP 94,900.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/apple-macbook-pro-14-m1pro-8c-cpu-14c-gpu16gb512gbsilverar-27347784.html;2 units left;Offer type: information not available;Seller Name: Techmart Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"HP Laptop Pavilion 15-ec2027ne Gaming Ryzen 7-5800H - 16GB RAM - 512GB SSD - RTX 3050 4GB - 15.6"" FHD- 144Hz - backlit A/E KB,- Black - DOS ""No Windows""";Old price not available;0;EGP 29,800.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-pavilion-gaming-15-dk2104ne-core-i5-11300h-16g-ram-512vnme-vga-nvidia-4g-gtx-1650-15.6-fhd-60hz-free-dos-no-windows-shadow-black-26806525.html;8 units left;Offer Type: Back to school offers;Seller Name: Elite for trade Marketplace, Score: 50%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Lenovo IdeaPad 5 ( Intel I7-1165G7 - Ram 16GB - 512GB SSD - NVIDIA MX450 2GB -15.6 FHD-Graphite Grey- DOS);EGP 1,795.20;0.5;EGP 897.60;0 out of 5;(No ratings available);https://www.jumia.com.eg/generic-phanteks-combo-light-strip-argb-neon-computer-case-30734379.html;2 units left;Offer type: information not available;Seller Name: JG-liliann, Score: 74%;Delivery Fees: EGP 384.55, Delivery Dates: 24 September, Ready Time: 10hrs 43mins;Pickup Fees: EGP 384.55, Pickup Dates: 24 September, Ready Time: 10hrs 43mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"HP ProBook 450 G8 Laptop - Intel Core I7-1165G7 - 8GB RAM - 512GB SSD - 15.6-inch FHD - Intel Iris X? Graphics - FreeDOS ""No Windows"" - Silver - English/Arabic Keyboard";EGP 1,193.60;0.5;EGP 596.80;0 out of 5;(No ratings available);https://www.jumia.com.eg/generic-licheers-cell-phone-stand-angle-height-adjustable-foldable-30916560.html;1 units left;Offer type: information not available;Seller Name: JG-liliann, Score: 74%;Delivery Fees: EGP 273.26, Delivery Dates: 24 September, Ready Time: 10hrs 43mins;Pickup Fees: EGP 273.26, Pickup Dates: 24 September, Ready Time: 10hrs 43mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Fujitsu A3511 - Core™ I3 1115G4 - 8GB - 256GB SSD  - DOS ""No Windows""";EGP 20,999.00;0.04;EGP 20,221.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i7-1165g7-12gb-ram-1tb-hdd-256gb-ssd-15.6-inch-fhd-nvidia-mx-350-2gb-silver-44860785.html;5 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 13mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 13mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Asus Vivobook 16X D1603QA-MB005W - 16.0-inch AMD Ryzen™ 5 5600H 8GB 512GB SSD AMD Radeon™ Graphics - Transparent Silver;EGP 23,208.00;0.19;EGP 18,850.00;5 out of 5;(1 verified rating);https://www.jumia.com.eg/dell-inspiron-5406-2-in-1-laptop-intel-core-i3-8gb-ram-256gb-ssd-14.0-inch-hd-intel-gpu-windows-10-platinum-silver-33207941.html;1 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Acer ASPIRE 5 Laptop – Intel Core I7 – 1165G7 - 12GB RAM -1TB SSD - 15.6 Inch FHD –NVIDIA 450 2GB – Silver;EGP 17,499.00;0.06;EGP 16,525.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i5-1135g7-8gb-ram-256-ssd-15.6-inch-fhd-nvidia-mx-350-2gb-silver-44860776.html;1 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
"Lenovo ThinkPad E14 – Intel Core i7 1165G7 – 8GB RAM – 512 SSD – 14 Inch FHD – NVIDIA® MX450 – FreeDOS ""No Windows"" – Black";EGP 27,990.00;0.08;EGP 25,665.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/acer-aspire-5-a515-57g-70gt-notebook-laptop-intel-core-i7-8gb-ram-512-ssd-nvidia-geforce-rtx-2050-15.6-inch-fhd-windows-11-steel-grey-44356858.html;2 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
DELL Vostro 3515 Laptop - AMD RYZEN 5 - 3450U - 8GB RAM - 512 GB SSD - AMD VGA 8 Graphics - 15.6 Inch FHD - Ubuntu - Black;EGP 12,899.00;0.05;EGP 12,199.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/asus-15-x515fa-bq8g3w-intelr-coretm-i3-10110u-8gb-1tb-hdd-intelr-uhd-graphics-15.6-fhd-win-11-slate-grey-47442226.html;1 units left;Offer type: information not available;Seller Name: Brothers Computer Marketplace, Score: 100%;Delivery Fees: EGP 52.44, Delivery Dates: 06 September, Ready Time: 07 September;Pickup Fees: EGP 52.44, Pickup Dates: 06 September, Ready Time: 07 September;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
Acer ASPIRE 5 Laptop - AMD RYZEN7-5700U - 8GB RAM – 512 SSD – 15.6 Inch FHD – AMD RADEON RX640 2GB – Silver;EGP 53,680.45;0.16;EGP 45,176.00;0 out of 5;(No ratings available);https://www.jumia.com.eg/hp-6a3s1ea-victus-gaming-16-d1012ne-laptop-intel-core-i7-12700h-16gb-ram-1tb-ssd-16.1-inch-fhd-h-mica-silver-freedos-no-windows-37851590.html;3 units left;Offer Type: Back to school offers;Seller Name: Jumia, Score: 100%;Delivery Fees: Free delivery, Delivery Dates: 05 September, Ready Time: 5hrs 12mins;Pickup Fees: Free delivery, Pickup Dates: 05 September, Ready Time: 5hrs 12mins;Return Policy: Free return within the legal return period from 14 to 30 days, and if they meet the terms & conditions, with the need to report any apparent defect within 48 hours. For more details about return policy.Details, For more details: /return-policy-cp/
